lat,lon,fishing_hours
-16.7,-79.5,437.2473
-13.4,-76.9,436.8543
-19.7,-75.8,436.8266
-8.5,-79.7,436.0788
-10.7,-78.1,434.5778
-15.0,-82.1,434.1869
-11.2,-78.1,433.7168
-11.0,-81.8,432.4816
-2.8,-85.2,431.5292
-2.4,-84.7,431.4152
-13.6,-76.8,431.3528
-2.7,-85.4,431.2758
-17.0,-79.3,430.485
-20.0,-76.1,430.2506
-5.1,-85.5,429.8465
-10.7,-81.7,429.5173
-12.4,-81.8,428.2161
-13.3,-76.7,428.1699
-2.7,-84.6,425.4406
-3.2,-86.0,425.05899999999997
-2.8,-85.4,424.9143
-13.3,-77.0,424.3515
-3.0,-84.6,424.3448
-17.1,-79.5,424.1954
-17.1,-79.3,423.9615
-9.4,-79.0,423.1601
-14.9,-82.1,421.4421
-4.9,-85.6,420.0658
-12.3,-81.9,419.6592
-2.7,-85.3,416.6266
-8.6,-79.6,415.3706
-3.0,-85.0,414.23109999999997
-3.7,-85.5,413.8306
-8.7,-79.2,412.9405
-19.1,-76.0,411.9445
-13.2,-83.8,411.5135
-5.2,-85.4,411.2899
-19.9,-76.1,411.0606
-5.4,-86.0,410.2906
-2.9,-85.0,409.7034
-2.6,-85.1,409.2078
-3.7,-85.2,408.8523
-3.3,-85.9,408.6122
-5.4,-85.2,407.9253
-19.1,-75.9,406.6598
-3.2,-84.8,405.8117
-3.5,-84.6,405.8013
-8.8,-79.2,405.1703
-5.0,-85.2,405.0993
-6.2,-85.1,404.9191
-16.7,-79.6,404.8159
-19.5,-76.1,404.6281
-2.4,-84.9,404.3235
-8.6,-79.3,403.5554
-8.4,-79.4,402.7919
-2.1,-84.5,402.7717
-16.1,-80.0,402.312
-5.1,-85.1,402.1184
-2.5,-84.6,400.6165
-13.3,-84.0,399.8039
-19.1,-78.0,399.2026
-13.1,-77.1,399.094
-12.0,-77.3,398.91270000000003
-10.9,-81.9,398.5454
-5.1,-81.2,398.1022
-10.2,-78.4,397.9033
-5.1,-85.6,397.5049
-13.3,-83.9,397.3073
-3.2,-85.9,397.1888
-14.8,-82.0,396.366
-3.6,-84.7,396.05400000000003
-8.8,-79.5,394.653
-19.6,-76.1,394.6277
-12.7,-81.7,394.0341
-17.3,-79.0,393.7845
-3.0,-84.9,392.6936
-3.0,-85.1,391.8456
-17.0,-79.6,391.6074
-19.9,-75.5,390.3662
-5.2,-85.1,390.2854
-13.4,-76.7,390.2242
-17.3,-79.5,390.0642
-11.3,-77.8,389.1422
-3.4,-85.6,388.30219999999997
-8.5,-79.1,387.0511
-5.4,-85.1,386.479
-13.3,-83.8,384.7498
-8.7,-79.3,384.3652
-12.5,-81.8,384.3619
-10.0,-78.6,384.2221
-5.3,-85.4,384.1055
-11.3,-78.0,383.2382
-4.1,-85.8,382.979
-5.5,-84.8,381.1911
-12.5,-81.7,381.0878
-17.1,-79.6,380.9789
-19.9,-75.6,380.1877
-13.5,-76.7,376.6725
-13.6,-80.9,376.461
-13.4,-76.6,374.5788
-8.9,-79.1,374.0054
-10.6,-82.0,373.6692
-19.2,-77.9,373.1562
-17.2,-79.2,372.8773
-16.1,-79.9,372.84839999999997
-13.5,-80.9,372.8005
-5.5,-85.9,372.1438
-4.6,-85.5,372.0441
-8.7,-79.1,372.0045
-17.1,-79.1,371.49739999999997
-3.2,-85.8,370.01800000000003
-20.0,-75.4,369.6913
-3.8,-85.5,368.6965
-9.2,-78.9,368.212
-8.9,-79.5,368.0307
-8.9,-79.8,367.1021
-19.3,-75.8,366.7462
-6.0,-85.4,366.639
-3.0,-85.5,365.91360000000003
-17.2,-79.5,365.7087
-11.6,-77.7,365.6808
-8.6,-79.7,364.7839
-14.9,-82.0,364.1786
-12.9,-81.7,363.2471
-12.4,-77.0,361.7078
-17.2,-79.3,361.2232
-4.9,-86.0,360.742
-4.6,-85.6,360.0856
-8.9,-79.3,359.9977
-19.2,-78.0,359.681
-20.0,-75.6,358.7076
-8.8,-79.3,358.6776
-3.3,-84.7,358.486
-5.6,-85.9,357.54
-9.7,-79.4,357.4106
-8.8,-79.4,357.0866
-8.9,-79.2,356.0662
-3.3,-84.9,355.9941
-10.1,-78.4,355.7158
-2.9,-85.7,354.0809
-4.9,-85.2,353.2762
-11.0,-81.7,352.6905
-5.5,-86.0,352.5669
-16.2,-79.9,352.0901
-19.2,-75.8,350.6142
-16.7,-79.4,350.3405
-19.1,-78.1,349.4523
-13.4,-81.0,349.4422
-10.7,-78.2,349.3549
-2.9,-84.6,349.1966
-17.1,-79.2,348.6196
-9.2,-79.0,348.4518
-16.7,-79.7,348.1605
-8.5,-79.3,347.7751
-2.8,-84.6,347.4258
-3.0,-85.2,347.2613
-5.0,-85.1,347.2545
-3.2,-85.3,346.9855
-6.7,-85.6,346.3031
-8.5,-79.5,346.0311
-10.1,-82.1,346.0096
-2.9,-84.7,345.60790000000003
-2.3,-84.8,344.9839
-17.4,-79.5,344.7645
-19.2,-77.6,344.0507
-14.8,-81.9,341.9896
-2.5,-85.1,341.8814
-2.6,-84.6,341.48879999999997
-2.7,-85.5,341.0516
-3.3,-80.9,341.049
-3.8,-85.2,341.0134
-3.6,-85.6,340.739
-12.1,-77.4,339.3697
-2.8,-84.9,338.98810000000003
-8.7,-79.4,338.9404
-12.7,-76.9,338.7707
-6.2,-85.2,337.97769999999997
-3.0,-86.0,337.3636
-3.3,-86.0,337.1572
-11.2,-78.0,337.0869
-9.7,-79.6,337.0658
-5.4,-85.8,335.3323
-19.2,-77.5,334.8641
-19.9,-75.3,334.7513
-17.6,-78.9,334.2824
-7.4,-80.1,332.9808
-2.4,-84.6,332.5541
-8.8,-79.1,332.4102
-10.8,-78.0,332.0317
-3.3,-85.5,331.7234
-18.2,-79.0,331.6642
-13.6,-76.7,331.6294
-11.0,-81.9,331.5303
-17.2,-79.4,331.2422
-6.7,-80.9,330.827
-19.4,-75.8,329.7699
-19.8,-75.7,329.6872
-9.0,-78.9,328.8116
-5.0,-85.3,328.30649999999997
-11.0,-78.0,327.911
-8.5,-79.2,327.3723
-17.2,-79.6,327.2482
-3.4,-85.0,326.5619
-17.5,-78.9,326.3525
-11.7,-77.6,325.3525
-9.1,-79.0,325.1581
-14.8,-82.2,325.0304
-17.3,-79.3,323.0374
-3.2,-85.7,321.5775
-2.8,-85.3,321.2518
-16.8,-79.8,320.4918
-16.6,-79.6,320.2855
-11.1,-81.8,320.0899
-12.3,-81.8,319.6332
-3.6,-84.8,319.2969
-6.7,-85.8,319.2762
-16.8,-79.7,318.3344
-19.0,-78.0,318.0177
-3.9,-85.3,317.9501
-11.7,-78.0,317.7809
-2.3,-84.7,317.70459999999997
-5.7,-85.8,316.3754
-2.2,-84.6,315.8853
-7.5,-80.0,315.573
-11.8,-77.8,315.4789
-8.8,-79.7,315.4596
-17.4,-79.7,315.3913
-5.6,-84.7,314.9033
-5.3,-85.8,314.6657
-8.2,-79.6,314.256
-11.9,-77.4,314.12760000000003
-19.1,-77.5,313.52729999999997
-9.5,-78.6,313.1909
-4.6,-85.9,312.3492
-16.2,-79.8,311.849
-20.0,-76.2,311.2329
-4.5,-85.7,310.995
-13.2,-83.9,310.8715
-17.4,-79.2,310.8029
-19.5,-75.8,310.7798
-2.4,-85.0,310.3607
-17.4,-79.6,310.0563
-3.2,-84.9,309.6439
-3.2,-85.4,309.3494
-2.3,-84.6,309.1416
-3.6,-85.0,308.706
-3.8,-85.4,307.9804
-16.8,-79.9,307.6859
-17.4,-79.0,307.1629
-9.6,-79.6,306.5941
-8.7,-79.0,306.4087
-6.8,-85.7,306.2519
-16.0,-79.9,305.2865
-4.8,-86.0,305.177
-18.4,-70.7,304.8862
-2.7,-85.0,304.7883
-4.0,-85.7,304.5715
-5.8,-85.7,302.9504
-2.5,-84.9,302.5218
-11.1,-81.7,302.5061
-6.7,-85.7,302.3558
-2.9,-85.8,302.2429
-19.6,-75.8,302.031
-12.3,-77.2,301.5972
-6.2,-85.5,300.8447
-17.0,-79.7,300.8019
-13.5,-81.0,300.8001
-16.9,-79.7,300.0985
-11.8,-77.5,299.6916
-13.2,-83.7,299.5772
-15.9,-80.0,298.0766
-9.4,-78.7,297.9647
-4.9,-85.9,297.9071
-5.4,-85.9,297.8314
-2.7,-84.8,297.2765
-2.8,-84.8,297.23969999999997
-11.1,-81.9,297.18
-5.6,-85.8,296.7393
-17.3,-79.8,296.7284
-5.2,-85.5,296.1061
-10.9,-77.9,296.0979
-2.5,-85.3,296.0764
-19.3,-75.7,295.4152
-16.1,-80.1,295.4014
-4.5,-85.9,295.16589999999997
-19.7,-76.2,294.0065
-9.5,-78.7,293.8439
-3.3,-85.8,293.5098
-9.3,-79.0,293.2307
-18.4,-70.6,293.1607
-12.6,-81.8,292.3156
-13.5,-76.2,292.2131
-17.3,-79.9,291.91
-10.3,-82.1,291.5897
-6.8,-85.8,291.5416
-3.9,-85.2,291.5406
-8.0,-79.7,290.4279
-20.0,-75.5,289.9769
-2.6,-84.8,289.4776
-2.5,-85.2,288.9558
-15.0,-82.0,288.8963
-17.3,-79.2,288.779
-9.2,-78.8,287.7637
-14.8,-80.6,287.6474
-5.0,-85.0,286.1389
-8.9,-79.0,286.1265
-10.4,-78.4,285.7405
-12.9,-81.2,285.3224
-19.8,-75.6,285.109
-3.1,-81.0,284.576
-17.4,-79.3,284.3166
-17.4,-78.9,284.2001
-17.3,-79.4,283.9356
-5.3,-85.7,283.8148
-13.6,-81.0,283.5447
-4.8,-85.3,283.4854
-3.1,-85.5,283.38439999999997
-6.5,-85.6,283.129
-7.4,-80.2,283.1109
-2.9,-86.0,283.1049
-8.3,-79.3,282.7143
